Timeline,9/12/2017,Title
9:00-9:30,Christophe Trophime (LNCMI),Modelling tool chain at the LNCMI
9:30-10:00,Christophe Trophime (LNCMI),Towards a full non-linear model for high field magnets : the magneto-electro-thermo-elastic model
10:00-10:45,"Artemiy Dimov
R. Hild",link:pdfs/dimov_socomec.pdf[Thermo-electro-aerolic modeling and simulation of an industrial interruptor] 
10:45-11:00,Break,
11:00-11:30,Christophe Prud'homme,MSO4SC
11:30-12:00,"Victor Sande Veiga (CESGA)",link:pdfs/MSO4SC-FUD.pdf[MSO4SC Cloud Infratructure]
12:00-13:30,Lunch break,
13:30-16:00,"Christophe Trophime
Guillaume Dollé","Hands on session: Salome, Gmsh and Mesh Generation"
